id,address,x,y,z,stay,timestamp,bs_address,sample_time,sample_batch
4045,03D2C30A,-0.6110712607613635,5.9755997090990185,0.8,1,1666582984409,01370022,"2022-10-24,11:43:04",40
4046,03D2C30A,-0.6110712607613635,5.9755997090990185,0.8,1,1666582984529,01370022,"2022-10-24,11:43:04",40
4047,03D2C30A,-0.6110712607613635,5.9755997090990185,0.8,1,1666582984659,01370022,"2022-10-24,11:43:04",40
4048,03D2C30A,-0.6110712607613635,5.9755997090990185,0.8,1,1666582984799,01370022,"2022-10-24,11:43:05",40
4049,03D2C30A,-0.6110712607613635,5.9755997090990185,0.8,1,1666582984919,01370022,"2022-10-24,11:43:05",40
4050,03D2C30A,-0.6110712607613635,5.9755997090990185,0.8,1,1666582985049,01370022,"2022-10-24,11:43:05",40
4051,03D2C30A,-0.6490166240399917,5.779505599140253,0.8,0,1666582985179,01370022,"2022-10-24,11:43:05",40
4052,03D2C30A,-0.8176636531952046,5.7787613492322425,0.8,0,1666582985299,01370022,"2022-10-24,11:43:05",40
4053,03D2C30A,-0.9430094028995892,5.778208190583944,0.8,0,1666582985419,01370022,"2022-10-24,11:43:05",40
4054,03D2C30A,-0.9430094028995892,5.778208190583944,0.8,1,1666582985542,01370022,"2022-10-24,11:43:05",40
4055,03D2C30A,-0.9430094028995892,5.778208190583944,0.8,1,1666582985659,01370022,"2022-10-24,11:43:05",40
4056,03D2C30A,-0.9430094028995892,5.778208190583944,0.8,1,1666582985779,01370022,"2022-10-24,11:43:05",40
4057,03D2C30A,-0.9695460379345251,5.7780910827506045,0.8,0,1666582985909,01370022,"2022-10-24,11:43:06",40
4058,03D2C30A,-1.100806124931804,5.777511823761207,0.8,0,1666582986029,01370022,"2022-10-24,11:43:06",40
4059,03D2C30A,-1.221344505250907,5.776979880335262,0.8,0,1666582986149,01370022,"2022-10-24,11:43:06",40
4060,03D2C30A,-1.3263958941506573,5.776516281972952,0.8,0,1666582986259,01370022,"2022-10-24,11:43:06",40
4061,03D2C30A,-1.3982820081389438,5.776199044047142,0.8,0,1666582986379,01370022,"2022-10-24,11:43:06",40
4062,03D2C30A,-1.470815370834303,5.70421551430929,0.8,0,1666582986509,01370022,"2022-10-24,11:43:06",40
4063,03D2C30A,-1.5145734984366586,5.612685678347468,0.8,0,1666582986619,01370022,"2022-10-24,11:43:06",40
4064,03D2C30A,-1.5644826453410894,5.497206252298277,0.8,0,1666582986749,01370022,"2022-10-24,11:43:06",40
4065,03D2C30A,-1.6083642089915675,5.3843162155469475,0.8,0,1666582986869,01370022,"2022-10-24,11:43:07",40
4066,03D2C30A,-1.6465785104688506,5.276846451332795,0.8,0,1666582986979,01370022,"2022-10-24,11:43:07",40
4067,03D2C30A,-1.6921804247674046,5.131325819997743,0.8,0,1666582987119,01370022,"2022-10-24,11:43:07",40
4068,03D2C30A,-1.727784740507882,5.000772001013503,0.8,0,1666582987239,01370022,"2022-10-24,11:43:07",40
4069,03D2C30A,-1.796886383442629,4.8928117829479145,0.8,0,1666582987499,01370022,"2022-10-24,11:43:07",40
4070,03D2C30A,-1.7921158323639763,4.758308982415276,0.8,0,1666582987619,01370022,"2022-10-24,11:43:07",40
